Established,Kingdom,Phylum,Class,Order,Family,Genus,Label
0.0515201342619361,Bacteria,Myxococcota,Polyangia,MidBa8,NA,NA,"Class Polyangia, Order MidBa8"
0.0512916407252427,Bacteria,Desulfobacterota,Desulfobacteria,Desulfobacterales,Desulfobacteraceae,NA,"Class Desulfobacteria, Genus Desulfobacteraceae"
0.049206830923779,Bacteria,NA,NA,NA,NA,NA,"Phylum NA, Genus NA"
0.0426938451886487,Bacteria,Myxococcota,Polyangia,Polyangiales,BIrii41,NA,"Class Polyangia, Family BIrii41"
0.0341959341487167,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NA,"Class Bacteroidia, Family Flavobacteriaceae"
0.0321995915726223,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidetes BD2-2,NA,"Class Bacteroidia, Family Bacteroidetes BD2-2"
0.0313851426011269,Bacteria,Proteobacteria,Gammaproteobacteria,Thiotrichales,Thiotrichaceae,Cocleimonas,"Class Gammaproteobacteria, Genus Cocleimonas"
0.0300800738112886,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,Thermomarinilinea,"Class Anaerolineae, Genus Thermomarinilinea"
0.0234217511852416,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,NA,NA,"Class Campylobacteria, Family NA"
0.0229212048735989,Bacteria,Myxococcota,Polyangia,Nannocystales,Nannocystaceae,NA,"Class Polyangia, Family Nannocystaceae"
0.0212210957333179,Bacteria,Verrucomicrobiota,Lentisphaeria,Victivallales,BD2-3,NA,"Class Lentisphaeria, Family BD2-3"
